audiocap_id,youtube_id,start_time,caption,video_Caption
3,--0w1YA1Hm4,30,People talking with the dull roar of a vehicle on the road,"In this video, we see a car driving down a street at night. The video lasts for 8 seconds, and we see different objects and their attributes, such as the street, the car, the night, and the road. "
104906,#NAME?,30,Plastic crinkling followed by footsteps on concrete as metal clanging and a group of people talk in the background,"In this video, we see a person's hand reaching into a plastic container filled with soil. The hand is holding a small plant, and we can see the roots of the plant. The container is placed on a concrete floor. "
102977,#NAME?,10,Rain falling and wind blowing hard with rustling leaves,"The video shows a scene of a garden with trees and a house in the background. The camera captures the scene from different angles, showing the rain falling on the garden and the house. "
106197,#NAME?,30,A female speaking,"In this video, a man is standing at a podium and giving a speech. He is wearing a white shirt and black pants. There are several people sitting in chairs behind him, and there are also some potted plants in the room. "
596,#NAME?,10,A bell is ringing,"In this video, a man is seen hanging from a rope in a room with wooden beams on the ceiling. He is pulling himself up using the rope. "
625,#NAME?,21,"Man speaking, rain, thunder","In this video, we see a man riding a motorcycle on a wet road. There are also several other objects in the video, including a black and white sign, a green and white sign, and a black and white dog. "
106763,#NAME?,50,A person speaks with distant humming and nearby clinking,"In this video, we see a table with various bowls of food and ingredients on it. The camera focuses on the different items on the table, including a blue bowl with meat and a white bowl with food. We also see a person's hand holding a spoon and a bottle of ketchup. "
107331,#NAME?,30,A man laughs and talks with another man sneezing,"In this video, a man is seen chopping down a tree with an axe. He then proceeds to hit the tree with the axe and chop it down. "
845,#NAME?,130,A man speaks while operating a power tool,"In this video, we see a person using a wood lathe to carve a piece of wood. The person is using a chisel to carve the wood, and we can see the wood shavings being removed from the piece. "
104326,#NAME?,0,Clicks of weapons being loaded followed by a gunshot and a clink then a man speaks,"The video shows a man wearing a suit and tie standing in front of a large truck. He is holding a gun and appears to be aiming it at something. The video then shows a series of screenshots from a video game, featuring a man in a suit and tie holding a gun. "
1040,#NAME?,10,Woman speaking to meowing cat,"In this video, we see a cat eating food out of a bowl. The camera zooms in on the cat, and then the cat looks up at the camera. "
1167,-R69Fa-mCaY,20,Sound of cutting with a chainsaw with a little pause and again followed by the same sound,"In this video, we see a man sitting on a log and using a chainsaw to cut down a tree. He then proceeds to cut up the tree and chop it into smaller pieces. "
104862,#NAME?,30,A car passes by shortly after a man starts talking,"In this video, we see a man standing next to a white van. He is wearing a yellow jacket and is holding a piece of paper. He then proceeds to cut the paper with a knife. "
105362,#NAME?,20,Someone belches very loudly two times,"In this video, we see a young man wearing a black shirt. He is making different facial expressions and gestures towards the camera. "
1577,#NAME?,60,The sound of horn from a car approaching from a distance,"The video shows a car driving down a road in a tunnel. The car is seen driving through the tunnel, and the video captures the car's movement in different frames. "
105818,#NAME?,17,A car engine accelerating and then laughter,"In this video, we see a car driving down a road with other cars and trees in the background. The video shows the car driving on the road and passing by other cars and trees. "
104631,#NAME?,30,Engine running steadily,"In this video, we see a machine in a field. The machine is a large piece of equipment that is used for farming. Throughout the video, we see the machine in different positions and orientations. "
106656,#NAME?,30,An engine revving and then tires squealing,"In this video, a car is seen driving around a track with cones while people watch on the sides. The car continues to drive around the track, and the people on the sides continue to watch. "
102789,096oTVzc5Gs,30,A woman talking as a dog growls followed by a fan blowing air,"In this video, we see a dog and a cat sitting on a couch. The dog is brown and white, and the cat is white. The dog is sitting on the left side of the couch, and the cat is sitting on the right side. The couch is white, and there is a white blanket on the couch as well. "
103756,0AsXkZkqelg,30,An idle vehicle engine running normally before stuttering,"In this video, we see a man standing in front of a car in a garage. The video then shows the same man standing in front of the car in the garage. Later, we see the man standing in front of the car again in the garage. "
106742,0Dt-pH0pW-Y,20,A motorcycle driving then accelerating as a man talks over an intercom followed by another man cheering,"In this video, a young boy is seen riding a dirt bike around a track, while a man follows behind him. The boy continues to ride around the track, and the man is always close behind. "
102775,0G7rb74R-2A,30,A man speaking on a microphone as a crowd of people laugh followed by dinner plates clacking,"In this video, a man is standing at a podium with a microphone. He is wearing a white shirt and a black tie. There is a bouquet of white flowers on the table in front of him. The man is speaking into the microphone. "
3452,0NGSrwioYjA,30,There is a mature male talking to some animals,"In this video, we see a baby lamb standing on a grassy field. The lamb is seen standing and walking around in the grass. "
106395,0On6-JiVwRs,100,A cat meowing as wind blows into a microphone,"In this video, we see a black cat and a brown and black cat sitting on a tiled floor. The black cat is sitting on the left side of the frame, while the brown and black cat is sitting on the right side. The cats are not moving, and there are no other objects or actions in the video. "
105236,0Rpjl1AO-P0,30,Car engine accelerates and shifts gears,"In this video, we see a car race on a track. The cars are driving at high speed, and some of them crash into each other. The video captures the intense moments of the race, including the crashes and the aftermath. "
3944,0_K6OKtoBBU,30,A cat is meowing,"In this video, we see a cat sitting in front of a door. The cat remains in the same position throughout the video. "
